temperature,time
25.9,2020-02-24 11:50:28
25.9,2020-02-24 11:50:47
24.9,2020-02-24 17:13:00
24.9,2020-02-24 17:13:04
24.9,2020-02-24 17:13:13
25.0,2020-02-24 17:13:17
24.9,2020-02-24 17:13:21
24.9,2020-02-24 17:13:25
24.9,2020-02-24 17:13:29
24.9,2020-02-24 17:13:32
24.9,2020-02-24 17:13:36
25.1,2020-02-24 17:25:51
25.1,2020-02-24 17:25:58
25.1,2020-02-24 17:26:10
25.0,2020-02-24 17:32:44
25.0,2020-02-24 17:33:21
25.0,2020-02-24 17:33:28
25.0,2020-02-24 17:33:35
25.0,2020-02-24 17:33:51
25.0,2020-02-24 17:34:00
